Year,Month,Day,Category,Material Type,Weight (lbs),Vendor,Date Updated,Cost,Notes,,,,,,,,,,,,,,,,,,
2011,May,,Compost,C-Organics,"17,100",,,,,,,,,,,,,,,,,,,,,,
2011,Jun,,Compost,C-Organics,"20,520",,,,,,,,,,,,,,,,,,,,,,
2011,Jul,,Compost,C-Organics,"19,494",,,,,,,,,,,,,,,,,,,,,,
2011,Aug,,Compost,C-Organics,"25,992",,,,,,,,,,,,,,,,,,,,,,
2011,Sep,,Compost,C-Organics,"30,096",,,,,,,,,,,,,,,,,,,,,,
2011,Oct,,Compost,C-Organics,"15,732",,,,,,,,,,,,,,,,,,,,,,
2011,Nov,,Compost,C-Organics,"20,520",,,,,,,,,,,,,,,,,,,,,,
2011,Dec,,Compost,C-Organics,"15,732",,,,,,,,,,,,,,,,,,,,,,
2011,Jan,,Landfill,L-Landfill,"306,632",,,,,,,,,,,,,,,,,,,,,,
2011,Feb,,Landfill,L-Landfill,"109,824",,,,,,,,,,,,,,,,,,,,,,
2011,Mar,,Landfill,L-Landfill,"275,820",,,,,,,,,,,,,,,,,,,,,,
2011,Apr,,Landfill,L-Landfill,"253,216",,,,,,,,,,,,,,,,,,,,,,
2011,May,,Landfill,L-Landfill,"265,060",,,,,,,,,,,,,,,,,,,,,,
2011,Jun,,Landfill,L-Landfill,"316,616",,,,,,,,,,,,,,,,,,,,,,
2011,Jul,,Landfill,L-Landfill,"107,628",,,,,,,,,,,,,,,,,,,,,,
2011,Aug,,Landfill,L-Landfill,"156,748",,,,,,,,,,,,,,,,,,,,,,
2011,Sep,,Landfill,L-Landfill,"179,030",,,,,,,,,,,,,,,,,,,,,,
2011,Oct,,Landfill,L-Landfill,"271,568",,,,,,,,,,,,,,,,,,,,,,
2011,Nov,,Landfill,L-Landfill,"252,982",,,,,,,,,,,,,,,,,,,,,,
2011,Dec,,Landfill,L-Landfill,"152,840",,,,,,,,,,,,,,,,,,,,,,
2012,Jan,,Recycle,R-Mixed recycling,"37,246",,,,,,,,,,,,,,,,,,,,,,
2012,Feb,,Recycle,R-Mixed recycling,"42,816",,,,,,,,,,,,,,,,,,,,,,
2012,Mar,,Recycle,R-Mixed recycling,"56,945",,,,,,,,,,,,,,,,,,,,,,
2012,Apr,,Recycle,R-Mixed recycling,"62,603",,,,,,,,,,,,,,,,,,,,,,
2012,May,,Recycle,R-Mixed recycling,"91,554",,,,,,,,,,,,,,,,,,,,,,
2012,Jun,,Recycle,R-Mixed recycling,"90,682",,,,,,,,,,,,,,,,,,,,,,
2012,Jul,,Recycle,R-Mixed recycling,"45,283",,,,,,,,,,,,,,,,,,,,,,
2012,Aug,,Recycle,R-Mixed recycling,"48,795",,,,,,,,,,,,,,,,,,,,,,
2012,Sep,,Recycle,R-Mixed recycling,"91,217",,,,,,,,,,,,,,,,,,,,,,
2012,Oct,,Recycle,R-Mixed recycling,"82,292",,,,,,,,,,,,,,,,,,,,,,
2012,Nov,,Recycle,R-Mixed recycling,"87,154",,,,,,,,,,,,,,,,,,,,,,
2012,Dec,,Recycle,R-Mixed recycling,"42,388",,,,,,,,,,,,,,,,,,,,,,
2012,Jan,,Compost,C-Organics,"12,996",,,,,,,,,,,,,,,,,,,,,,
2012,Feb,,Compost,C-Organics,"64,296",,,,,,,,,,,,,,,,,,,,,,
2012,Mar,,Compost,C-Organics,"70,056",,,,,,,,,,,,,,,,,,,,,,
2012,Apr,,Compost,C-Organics,"99,960",,,,,,,,,,,,,,,,,,,,,,
2012,May,,Compost,C-Organics,"93,000",,,,,,,,,,,,,,,,,,,,,,
2012,Jun,,Compost,C-Organics,"97,480",,,,,,,,,,,,,,,,,,,,,,
2012,Jul,,Compost,C-Organics,"77,704",,,,,,,,,,,,,,,,,,,,,,
2012,Aug,,Compost,C-Organics,"115,164",,,,,,,,,,,,,,,,,,,,,,
2012,Sep,,Compost,C-Organics,"97,328",,,,,,,,,,,,,,,,,,,,,,
2012,Oct,,Compost,C-Organics,"155,860",,,,,,,,,,,,,,,,,,,,,,
2012,Nov,,Compost,C-Organics,"122,712",,,,,,,,,,,,,,,,,,,,,,
2012,Dec,,Compost,C-Organics,"74,580",,,,,,,,,,,,,,,,,,,,,,
2012,Jan,,Landfill,L-Landfill,"228,608",,,,,,,,,,,,,,,,,,,,,,
2012,Feb,,Landfill,L-Landfill,"177,272",,,,,,,,,,,,,,,,,,,,,,
2012,Mar,,Landfill,L-Landfill,"161,804",,,,,,,,,,,,,,,,,,,,,,
2012,Apr,,Landfill,L-Landfill,"139,600",,,,,,,,,,,,,,,,,,,,,,
2012,May,,Landfill,L-Landfill,"181,920",,,,,,,,,,,,,,,,,,,,,,
2012,Jun,,Landfill,L-Landfill,"232,356",,,,,,,,,,,,,,,,,,,,,,
2012,Jul,,Landfill,L-Landfill,"76,876",,,,,,,,,,,,,,,,,,,,,,
2012,Aug,,Landfill,L-Landfill,"102,920",,,,,,,,,,,,,,,,,,,,,,
2012,Sep,,Landfill,L-Landfill,"125,176",,,,,,,,,,,,,,,,,,,,,,
2012,Oct,,Landfill,L-Landfill,"158,428",,,,,,,,,,,,,,,,,,,,,,
2012,Nov,,Landfill,L-Landfill,"137,520",,,,,,,,,,,,,,,,,,,,,,
2012,Dec,,Landfill,L-Landfill,"85,320",,,,,,,,,,,,,,,,,,,,,,
2013,Jan,,Recycle,R-Mixed recycling,"94,287",,,,,,,,,,,,,,,,,,,,,,
2013,Feb,,Recycle,R-Mixed recycling,"75,867",,,,,,,,,,,,,,,,,,,,,,
2013,Mar,,Recycle,R-Mixed recycling,"80,279",,,,,,,,,,,,,,,,,,,,,,
2013,Apr,,Recycle,R-Mixed recycling,"87,315",,,,,,,,,,,,,,,,,,,,,,
2013,May,,Recycle,R-Mixed recycling,"84,843",,,,,,,,,,,,,,,,,,,,,,
2013,Jun,,Recycle,R-Mixed recycling,"108,971",,,,,,,,,,,,,,,,,,,,,,
2013,Jul,,Recycle,R-Mixed recycling,"67,543",,,,,,,,,,,,,,,,,,,,,,
2013,Aug,,Recycle,R-Mixed recycling,"51,101",,,,,,,,,,,,,,,,,,,,,,
2013,Sep,,Recycle,R-Mixed recycling,"100,348",,,,,,,,,,,,,,,,,,,,,,
2013,Oct,,Recycle,R-Mixed recycling,"85,760",,,,,,,,,,,,,,,,,,,,,,
2013,Nov,,Recycle,R-Mixed recycling,"67,536",,,,,,,,,,,,,,,,,,,,,,
2013,Dec,,Recycle,R-Mixed recycling,"53,544",,,,,,,,,,,,,,,,,,,,,,
2013,Jan,,Compost,C-Organics,"107,524",,,,,,,,,,,,,,,,,,,,,,
2013,Feb,,Compost,C-Organics,"95,828",,,,,,,,,,,,,,,,,,,,,,
2013,Mar,,Compost,C-Organics,"96,092",,,,,,,,,,,,,,,,,,,,,,
2013,Apr,,Compost,C-Organics,"128,660",,,,,,,,,,,,,,,,,,,,,,
2013,May,,Compost,C-Organics,"140,744",,,,,,,,,,,,,,,,,,,,,,
2013,Jun,,Compost,C-Organics,"107,380",,,,,,,,,,,,,,,,,,,,,,
2013,Jul,,Compost,C-Organics,"96,812",,,,,,,,,,,,,,,,,,,,,,
2013,Aug,,Compost,C-Organics,"101,028",,,,,,,,,,,,,,,,,,,,,,
2013,Sep,,Compost,C-Organics,"103,792",,,,,,,,,,,,,,,,,,,,,,
2013,Oct,,Compost,C-Organics,"131,356",,,,,,,,,,,,,,,,,,,,,,
2013,Nov,,Compost,C-Organics,"110,728",,,,,,,,,,,,,,,,,,,,,,
2013,Dec,,Compost,C-Organics,"86,492",,,,,,,,,,,,,,,,,,,,,,
2013,Jan,,Landfill,L-Landfill,"138,000",,,,,,,,,,,,,,,,,,,,,,
2013,Feb,,Landfill,L-Landfill,"136,420",,,,,,,,,,,,,,,,,,,,,,
2013,Mar,,Landfill,L-Landfill,"141,880",,,,,,,,,,,,,,,,,,,,,,
2013,Apr,,Landfill,L-Landfill,"151,500",,,,,,,,,,,,,,,,,,,,,,
2013,May,,Landfill,L-Landfill,"156,600",,,,,,,,,,,,,,,,,,,,,,
2013,Jun,,Landfill,L-Landfill,"173,820",,,,,,,,,,,,,,,,,,,,,,
2013,Jul,,Landfill,L-Landfill,"116,200",,,,,,,,,,,,,,,,,,,,,,
2013,Aug,,Landfill,L-Landfill,"85,580",,,,,,,,,,,,,,,,,,,,,,
2013,Sep,,Landfill,L-Landfill,"120,148",,,,,,,,,,,,,,,,,,,,,,
2013,Oct,,Landfill,L-Landfill,"142,260",,,,,,,,,,,,,,,,,,,,,,
2013,Nov,,Landfill,L-Landfill,"140,740",,,,,,,,,,,,,,,,,,,,,,
2013,Dec,,Landfill,L-Landfill,"111,540",,,,,,,,,,,,,,,,,,,,,,
2013,May,,Reuse,D-Swap For Good,800,Other,2/18/2020,,,,,,,,,,,,,,,,,,,,
2014,Jun,,Reuse,D-Donations,10074,Other,6/26/18 LK,,,,,,,,,,,,,,,,,,,,
2014,Jan,,Recycle,R-Mixed recycling,"70,381",,,,,,,,,,,,,,,,,,,,,,
2014,Feb,,Recycle,R-Mixed recycling,"78,520",,,,,,,,,,,,,,,,,,,,,,
2014,Mar,,Recycle,R-Mixed recycling,"68,800",,,,,,,,,,,,,,,,,,,,,,
2014,Apr,,Recycle,R-Mixed recycling,"89,350",,,,,,,,,,,,,,,,,,,,,,
2014,May,,Recycle,R-Mixed recycling,"95,027",,,,,,,,,,,,,,,,,,,,,,
2014,Jun,,Recycle,R-Mixed recycling,"121,129",,,,,,,,,,,,,,,,,,,,,,
2014,Jul,,Recycle,R-Mixed recycling,"80,207",,,,,,,,,,,,,,,,,,,,,,
2014,Aug,,Recycle,R-Mixed recycling,"122,920",,,,,,,,,,,,,,,,,,,,,,
2014,Sep,,Recycle,R-Mixed recycling,"96,575",,,,,,,,,,,,,,,,,,,,,,
2014,Oct,,Recycle,R-Mixed recycling,"79,914",,,,,,,,,,,,,,,,,,,,,,
2014,Nov,,Recycle,R-Mixed recycling,"74,980",,,,,,,,,,,,,,,,,,,,,,
2014,Dec,,Recycle,R-Mixed recycling,"67,971",,,,,,,,,,,,,,,,,,,,,,
2014,Jan,,Compost,C-Organics,"93,932",,,,,,,,,,,,,,,,,,,,,,
2014,Feb,,Compost,C-Organics,"88,264",,,,,,,,,,,,,,,,,,,,,,
2014,Mar,,Compost,C-Organics,"103,340",,,,,,,,,,,,,,,,,,,,,,
2014,Apr,,Compost,C-Organics,"84,300",,,,,,,,,,,,,,,,,,,,,,
2014,May,,Compost,C-Organics,"68,932",,,,,,,,,,,,,,,,,,,,,,
2014,Jun,,Compost,C-Organics,"71,132",,,,,,,,,,,,,,,,,,,,,,
2014,Jul,,Compost,C-Organics,"82,536",,,,,,,,,,,,,,,,,,,,,,
2014,Aug,,Compost,C-Organics,"79,272",,,,,,,,,,,,,,,,,,,,,,
